Hebrew,Russian
איסלנד,Исландия
מאוחסן,хранится
תירדם,Заснуть
השקע,Вложения
מרטון,Мартон
קיוותה,Надеялась
שהתרחשה,Происходило
אפייה,выпечка
תחל,грунтовка
למזכרת,сувенир
והסוכן,И агент
והופכים,Изготовление
מ,M
אלפונס,Альфонс
פביאן,Fabian
תרחישים,Сценарии
לפקיסטן,Пакистан
doe,лань
מתאגרפים,Боксеры
המשפטיים,Правовую
יילכו,Пойдет
לסרוג,вязать
לחומרים,Вещества
הלסטד,Хэлстид
מסטולית,под кайфом
לבארי,Барри
אפים,ноздри
שנפגעת,Были затронуты
פסח,Песах
מאוכלס,населенный
מנספילד,Mansfield
שהוריו,Родители
ביסט,зверь
מעטפות,Конверты
ורוצחים,И убийцы
ואגב,между прочим
יאחר,Опаздывать
מזבל,навоз
מהיצורים,Существа
למסגרת,Фреймворк
נטלתי,я взял
במשמורת,Опека
היינריך,Heinrich
אפלטון,Платон
בגיא,Долина
מעריצי,Поклонники
במינסוטה,Миннесота
סיפקת,Вы дали
סטארבקס,Старбакс
נטייל,Ходить
נבחנת,проверенный
שהחליט,Решив
לנינה,Нина
להתבשל,заваривать
הדוגמנות,моделирование
מאליבו,Malibu
ללינדה,Линда
המאיץ,ускоритель
מפנק,уютный
נווט,Navigate
מנמנם,дремать
שלקס,закон
סיירים,Скауты
לעיין,Обзор
מדינתי,государство
כנקמה,в отместку
התהפכה,Перевернутый
עוויתות,Спазмы
משליכה,бросание
התפרעות,бунт
דירדרה,Дейдра
שכנעו,будучи убеждена
במיטתי,Постель
לתשאול,Для опроса
למק,макинтош
הימלטות,Побег
תרוקן,пустой
בחלקי,части
מופשט,Абстрактные
חיטטת,Вы выбрали
קינגס,Kings
ל,к
קודרים,Тьма
שפיטרו,уволят
לאוליבר,Оливер
בנוזל,Жидкость
פקאן,орех-пекан
יואיט,Хьюитт
תשישות,истощение
לגו,Лего
להיאמר,продекламировал
מבריקות,яркий
מגהטרון,Мегатрон
פוטנציאלים,потенциалов
מגדירים,определять
הפתעתי,сюрприз
בחסר,короткий
לרובה,винтовка
אפילה,Тьма
הדאגת,Вы обеспокоены тем
ביזנס,Бизнес
הושלך,Был брошен
תתבגרי,расти
ויזואלי,визуальный
שנערוך,Мы будем держать
לולאת,петля
שגמרנו,Мы закончили
קטמין,Кетамин
גומות,Отверстия
לכח,сила
שריאן,Райан
והבעיה,И проблема
סארין,Зарин
לקפיצה,Прыгать
לגהינום,Ад
שחלקנו,Некоторые из нас
נסוגו,Изъятое
ולחקור,И исследовать
דרסת,пробегать
נערף,Beheaded
הטירונים,Новичков
בפנקס,Регистрация
למעיל,Пальто
תכניתו,Строить планы
בוליביה,Боливия
שקבלתי,я получил
שמספק,Предоставлена
לפלישה,нашествие
קניין,покупатель
שמסתובבת,Поворачивается
משוכלל,разрабатывать
אקדחו,пистолет
הסי,ЦРУ
ליצ,нефелиум
סים,SIM
הכוננות,бдительный
תאם,Матч
מקומט,морщинистый
בדיה,художественная литература
מורטימר,Мортимер
אוזניי,Уши
אזרחיות,гражданского
הדילמה,дилемма
le,ле
באשמתנו,Наша ошибка
שנעלמתי,Я исчезаю
וחוזרים,И вернуться
אנונימיות,Анонимность
הדביקה,Прокладочные
הפיטורים,Увольнения
פורטל,Путешествовать
נשבה,дующий
סינטטי,синтетика
יורקים,йоркцы
קוקר,овсяная каша
מקללת,проклятие
יפוצצו,Взрывать
yuvalh,yuvalh
סטרו,Солома
הורידים,Жилы
גנדרן,денди
נילסן,Nielsen
הסקוטי,шотландский
חיב,Должен
צרעה,оса
בהשגחה,под наблюдением
התיעודי,Документальный
מוצלחות,успешный
קניבל,каннибал
שנשאל,На вопрос
קלינגונית,клингон
לשדים,Демоны
בתרגיל,Дрель
שתכנן,Запланированные
מיובשת,высушенный
הגלויה,открытка
ניחומים,Утешение
שאשחרר,Я релиз
נגעל,отвращение
המתוקות,Сладкий
ירחים,Спутники
בהפקה,производство
הרומי,Роман
בשערה,Волосы
מאוהיו,Огайо
המריבות,Поединки
מופרעים,нарушенный
דרגון,Дракон
ממוסקבה,Москва
שדברנו,Мы говорили
מספרה,Парикмахерская
פיירו,Piero
בכספים,фонды
המברק,кабель
האוריי,Ori
הערמומי,коварный
החידות,Риддлер
שהחתול,Кот
שחוקה,Изношенные
ובעולם,И мир
בכת,CBI
וכול,И все
בברכיים,Колени
ןב,Нев
הנדון,Предмет
וברחה,И сбежал
הזנחה,пренебрежение
בחטיבה,разделение
וזואי,И Зоя
ארוחת,Завтрак
מתחתיך,Под
שנוריד,Мы принимаем
mithrandir,Mithrandir
מודול,модуль
המיליונים,Миллионы
לגהץ,утюг
שימשה,Подается
דועך,распады
שתאכלי,Ты ешь
דודתה,тетка
שמהם,Который
שתגמור,финиш
שהאויב,Враг
החרושת,завод
סליפי,Сонный
בהאשמות,Обвинения
וכתובת,И адрес
כעשר,Десять
ווייס,Weiss
נלחמות,Борьба
מפורשת,ЭКСПРЕСС
וקני,И Kenny
האגרה,Потери
שופעת,Переполненная
שהחלום,Мечта
והמנהל,И директор
שחיות,животные
לאהבת,Любить
בנשקים,оружие
במרתון,Марафон
דעו,Know
שקפצתי,Прыжки
תפסידו,Похудеть
something,что нибудь
מתעמלת,Гимнастика
ארועים,События
מתלבט,нерешительный
-,-
ובריאה,здоровый
המקובלת,Принято
אכפיל,Я буду соответствовать
שלפוחיות,Пузыри
לצוק,утес
mean,значить
שהבטיח,обещанный
ואיאן,И Ян
לרחבת,площадь
ושולח,И посылает
נרדוף,Будет ли продолжать
לנייר,Ланье
מרלן,Марлен
מבורכים,желанный
הנוכחיים,ток
שממה,пустошь
יראת,Страх
שנוגעים,трогательный
הפופולרי,Популярный
יפרוש,Сходы
שגמרתי,Я закончил
הפיננסיים,финансовый
תאבון,аппетит
למח,костный мозг
בנחל,Ручей
אלמנות,вдовство
המאושרת,утвержденный
שוויצרית,швейцарцы
כשתשמע,Когда вы слышите
שאיזו,Это что то
חפציכם,пожитки
כשכולנו,Когда все
לאנדרו,Андрей
והמשכתי,И по-прежнему
still,по-прежнему
סיורי,Тур
מאפייה,пекарня
מריוס,Marius
ותהפוך,И стать
לגאווה,гордыня
שמנהלת,Запускается
לחיסול,устранение
כיסינו,Мы покрыли
זולו,зулус
ארנט,Арнетт
האולימפיאדה,Олимпийские игры
המרתון,Марафон
מכולות,Контейнеры
שהצד,Партия
ושקרן,И лжец
נגדל,расти
התעוררנו,Мы проснулись
דיגר,копатель
ספידי,скорый
נלקחת,взятый
אסטין,Истин
המזבלה,свалка
אסטרואידים,Астероиды
תדמיינו,Представить
שהענקת,Ты дал
המתכונים,рецепты
שודדת,Robs
האי,остров
שחררנו,Выпущенный
דהארמה,дхарма
שלמו,Оплатить
לאומיים,национальный
שוביקס,Sobiks
פורום,Форум
לסיימון,Саймон
ומכובד,И уважаемый
לליבה,ядро
כשניסית,Когда вы пытались
לומן,люмен
מדוכאים,Подавленный
ולעקוב,И следовать
אחזה,Проводится
תסחיף,эмболия
אלמר,Элмер
התנסות,опыт
החובש,медик
לעיכול,дайджест
מהתרדמת,кома
כללה,включены
שצפוי,ожидаемый
למותנו,Наша смерть
השטחים,занятый
ניוט,Тритон
המאמצת,усыновленный
מבקיע,Забил
הולנדית,Голландский
סבלנותי,Терпение
לקבץ,собирать
היבשות,Континенты
בעצבנות,Нервно
רוזנברג,Розенберг
מעלייך,Над вами
joee,Joee
בגבעת,возвышенность
חשמן,кардинальный
מהרופאים,Врачи
בפיקניק,Пикник
שנונה,остроумный
בקיום,имеющий
מהסמים,наркотики
מטילי,Слитки
שתפתחי,Вы открываете
חצוצרה,труба
בענווה,Смиренно
וביקשת,А вы спросили
מרוסקת,раздавленный
שכפי,Как только
שלשמה,Для которого
שנ,лет
פיזיים,физический
מביים,Направляет
האויבת,Враг
סצינות,Сцены
הפריצות,Краж
בכפפות,перчатки
רדודים,Мелкий
טורונטו,Торонто
תלש,Сорванные
צריבה,жечь
איריתתת,Airittt
תברך,благословить
פונדקאית,суррогат
מרותקים,очарованный
כתומה,оранжевый
ההרצאות,Лекции
בטחונך,БЕЗОПАСНОСТЬ
מעודכנים,обновленный
גריג,Григ
אעז,смею
אתחנן,Тисса
גרנדה,Гренада
למוניקה,Моника
הטהורה,чистый
בשנינו,Мы оба
במצב,Состояние
אוהלים,Палатки
העיתונאית,Журналистка
משתחררים,Выпущенный
מהטבע,Природа
המרושעים,Нечестивцы
חמיד,Хамид
החרטום,Лук
ותבין,"И понять,"
תתלהב,Возбуждаться
נקמתי,Жажда мести
סלי,Салли
לתפארת,слава
יפיפיות,Прекрасный
פרקמן,Frkmn
להתבטא,Evade
ותפגוש,И встречаются
שנבחרו,выбранный
אחאב,Ахав
האוורסט,Эверест
מנער,Встряска
מקמילן,McMillan
תיהיי,Оставаться
תועבר,Будут приняты
בפשיטה,набег
מהחיות,Животные
גורמי,Должностные лица
לבלוט,"Выделяться, быть заметным"
לאף,Любые
שניצל,шницель
פריזבי,Фрисби
מסיעה,приводы
הארד,Жесткий
מאובק,пыльный
רכשה,купленный
לידיך,Тебе
הנעים,перемещение
ישתגעו,Сходить с ума
כשהבחור,Когда парень
והשעון,И смотри
שנהיית,Вы стали
שביקשנו,Мы спросили
הזש,HZS
מוחשית,осязаемый
זאו,Чжао
קונצ,абсида
מוודאים,Удостовериться
הפרו,профессионал
ללי,ОБЩЕЕ
והתברר,И нашел
במסגד,Мечеть
גנרלים,генералы
העלויות,Расходы
שיפתח,Открытие
פורטוגזית,португальский
בהריגת,Убийство
רבעון,ежеквартальный
םעפ,Maf
המשטרתית,Полиция
תסירי,Отгул
אסמוך,я верю
תואשם,обвиняться
ממ,MEM
החריצים,игровые автоматы
בלחי,щека
צומחים,расти
גודזילה,Годзилла
אוד,тлеющие угли
כדורעף,Волейбол
וקטור,вектор
מצריים,Египет
נזקקים,нуждающийся
בהינתן,Учитывая
um,гм
וילדות,И девочка
העגינה,стыковка
משבח,Похвалы
לוסיאן,Lucian
בתחושה,чувство
קהיר,Каир
מזיעים,Потоотделение
לעט,Ручка
לחסר,вычитать
בשנאה,ненавистно
שהרגליים,Ноги
שליחה,отправка
מושטת,расширенный
נושר,лиственный
נירוונה,нирвана
עיתונאות,журналистика
ואנני,И Энни
משולחן,От
בחזקת,лизинг
ספרינגר,прыгун
בדור,поколение
נדבקים,Придерживаться
המתנתי,я ждал
משקשק,погремушки
נהיינו,Мы стали
תורים,Очереди
יהנה,Выиграет
לכוכבת,звезда
דכאון,депрессия
לכיתת,младшие
קאהן,Кан
סובייטי,советский
שז,Chez
שתתנו,Вы даете
אובחנה,диагностируется
שבבעלותו,Принадлежит
האופה,пекарь
שסיפרה,Об этом сообщил
בשיט,парусный спорт
שהכירו,знал
יעצבן,истирание
שיעזבו,Уехать
שהשקעת,инвестиции
ודונה,И Донна
ענת,Анат
בילינגס,Биллингс
שיעבדו,Работать
המובילות,ведущий
וחשב,И мысль
זייפה,Faked
עזבתם,Вы оставили
ההערכות,оценки
בבון,бабуин
יחלו,Начать
תדרי,частоты
שיזכיר,напоминать
מאפגניסטן,Афганистан
בשדים,Демоны
שבוודאי,конечно
לגז,газ
הדודנית,Двоюродный брат
פומפיוס,Помпей
להוקיר,лелеять
קוליות,голос
לבלט,Балет
מהקורבן,Потерпевший
חה,ха
מהרהר,мышление
אתרגל,Будет ли практика
והתחת,И задница
יכשל,Провал
צפופים,плотный
הברחתי,контрабандный
חפיפה,перекрытие
תיקייה,папка
הפוסט,Сообщение
היקמן,Hickman
חונך,репетитор
המשולבים,комбинированный
זלדה,Zelda
מה,какая
משתכרים,зарабатывание
התווך,оплот
ותעזרי,И помощь
בתזמון,тайминг
ותסתכלי,И посмотри
ואמו,И его мать
עמכם,С тобой
ראוותני,эффектный
קליסטה,Калиста
קראוס,Kraus
מזרים,Streams
הקובייה,куб
להדליף,утечка
אפשרה,Позволил
הזית,оливковый
שהמחלה,Болезнь
נהפכה,Стал
וחווה,Ева и
המבול,потоп
שעוזב,Уходит
שילחו,Пожалуйста
בצדו,На
ילחץ,Встряска
שחט,Slaughtered
תתעודדי,оживиться
זוגה,Муж
חגגו,прославленный
וחברת,И компания
בדלקת,Артрит
שהזמנתם,манящий
המיסטים,Мистики
מריס,Maris
בריתנו,Наши союзники
מתגלגלת,прокатка
אפרוחים,Chicks
בדרכינו,На нашем пути
מימיו,воды
מצליחין,Tsalichin
התראות,Уведомления
גללים,помет
באטמוספירה,Атмосфера
וייקח,И возьми
ממתקי,Сладости
בחצאית,Юбка
שתתרכז,Concentrate
סקריץ,визг
בלנגלי,Лэнгли
מכביד,обременительный
כחודשיים,Два месяца
יצרתם,созданный
בפרסומות,Реклама
היילנד,нагорье
עורכות,редакторство
הפריעה,докучать
להתריע,бдительный
שקבוצת,группа
הנופלים,Fallen
מהיקום,вселенная
נון,Полдень
פייזר,Пфайзер
חרבון,какание
שוכרת,Договоры аренды
גללי,помет
והכומר,И священник
ולאט,И медленно
קורל,Curl
לגנב,вор
החנינה,помилование
גורף,Подметание
מייפילד,Мэйфилд
ויפים,Прекрасный
צמצמתי,Сокращать
מרוחות,ветры
עתידית,Будущее
במקצועיות,Профессионализм
ארטיק,Popsicle
המספרה,Парикмахерская
תלשין,болтовня
.,","
בהתקדמות,Прогресс
ששואל,просит
גדות,банки
סטרייסנד,Стрейзанд
החלוץ,первопроходец
כימאי,химик
הייחודית,Уникальный
יתקרבו,Подойдет
הגורילה,горилла
דילינג,Dilling
מהחופשה,Праздничный день
וצוותו,И его команда
סיפורך,Сказка
אגסים,груши
שכולל,Включает в себя
שחשדתי,Я подозревал
מוגזים,газированный
לעבודתך,Твоя работа
רוחצת,Смывки
שיפוטי,судебная
לרוי,Leroy
ממיר,конвертер
למנצח,проводник
נגררה,Буксируемые
לאריזונה,Аризона
בוועידה,условность
בנאי,конструктор
החוזרים,возврате
משאלתך,Твое желание
המדבקה,наклейка
פורג,Кузница
וריבה,Желе
אחידה,единообразный
מטטרון,Метатрон
הגרדום,виселица
לשף,шеф-повар
מעצור,тормоз
וטעים,И вкусно
שמסוגלים,способный
פיקחית,яркий
צבת,плоскогубцы
מוסווה,тайный
לקארן,Карен
החיובים,расходы
במצודה,цитадель
שאסתדר,я буду управлять
הבלות,безрассудство
משותפות,общий
לספנסר,спенсер
מוערכים,Оценивается
ארובה,дымовая труба
נפליג,Паруса
חישבו,Считать
נתניאל,Натаниель
צרפתיות,Французский
בקולות,Звуки
ייקרא,Будет называться
רוסה,Роза
שהכוונה,умысел
שזכרת,Ты вспомнил
ידיעתך,Ваши знания
מלאכיות,Ангелы
הנעשה,События
ואשאיר,И уходи
אים,Я
ומוטב,И лучше
מישור,гладкий
למלאך,ангел
עודפים,прибавочный
שמבינים,Понимал
אַל,в
ציפורני,Ногти
ותירה,И Shoot
מניפולטיבי,манипулятивный
שכותב,писатель
ונניח,предполагать
נסיבתי,обстоятельный
לקנזס,Канзас
בסמולוויל,Smallville
חוזי,контракты
שקפץ,Прыжки
שתקפוץ,Прыжки
בחיק,круг
הוכחנו,Мы доказали
ויוצאת,И из
עסקיות,Бизнес
עלוקות,Пиявки
ותודיע,И сообщить
המדריכה,Гид
הקשקושים,Scribbles
קיף,Киф
המרשים,замечательный
קבילה,Кабила
קשוחות,жесткий
וסודה,содовый
כירורג,врач хирург
יציעו,Предложение
לעלייה,Подъем
מחשמל,цинкование
לקייסי,KC
לממוצע,Среднее
מקדיר,Темнеет
הפנטום,Фантом
בדגים,Рыбы
אדמתנו,Наша земля
שהקטע,прохождение
ירשת,унаследованный
סטוריברוק,Storybrooke
מחג,За от
ופרט,А поподробнее
רשלנית,неосторожный
יחלפו,Занимает
פורטמן,Портман
מתמוטטת,Обвалы
נובחים,Лай
מנוטרל,инвалид
הדר,Hadar
תצייר,Привлечь
קופצות,Поп
קטים,Жакеты
הטרקטור,Трактор
וילמה,Вильма
פופולריות,популярность
העלת,ЗАГРУЗИТЬ
והחלטת,И разрешение
לאווירה,Атмосфера
שיעברו,принимать
הדתית,религиозный
שאסביר,я объясняю
גטו,гетто
כשפי,Мой рот
שהתפרצתי,Я взрыв
נסטור,Нестор
ויקינגים,Викинги
האכלה,кормление
ומספריים,Ножницы
מהביטוח,страхование
לחברתי,Мой друг
סימסה,Она посылала
הוואנה,Гавана
uh,эм
כקורבן,Потерпевший
בלבה,Сердце
talk,говорить
המסוכנת,опасно
קריעה,разрывание
המקצוענים,Профессионалы
נטיל,кувырок
כאפה,Жесткое падение
שהגנרל,Генерал
כבלתי,Так как
המחזר,Courter
לול,курятник
הקיצוניים,Экстремисты
מזל,везение
התחברה,Увлеченные
ההספד,Некролог
שהתנהגת,Ты сделал
מצבא,армия
שאשתה,Пить
תחלקי,Ты делишься
שסובלים,вытерпеть
ל,к
קפלר,Kepler
רדפנו,Преследуемая
מצחין,зловонный
וממתי,"И с тех пор, когда"
שודר,Broadcast
לערעור,призыв
הנדיר,редкий
מאובדן,потеря
הקפואה,замороженный
המרפקים,локти
ארגזי,Ящики
מערבולות,Whirlpools
סדין,простыня
המורכב,Сложный
תרקדו,танец
מענישה,Наказанная
ברנשים,Ребята
יערה,жимолость
שנשכח,забытый
אייזנהאואר,Эйзенхауэр
הרחבת,расширение
תרגיז,Раздражать
הפותח,Открытие
מקגיל,McGill
שהתביעה,судебное преследование
טיילת,дощатый настил
לסו,Конец
שסקס,секс
ותשלח,И отправить
שהקשבת,Вы слушали
לעשיית,Изготовление
סנייק,змея
מגנטים,Магниты
שאיתן,Эйтан
מֵבִין,Понимаю
בלסת,челюстной
סופיות,окончательность
תשתפר,улучшать
הופלל,обрамленный
כמותך,Как ты
ישרות,Прямо
יורקת,Вертела
שנכתבו,Сообщений
בספרינגפילד,Springfield
ותירגע,И расслабься
והגנה,И защита
מהשיעור,Урок
האנקי,Ханки
הצוללות,Субмарины
הקפוצ,Прыгать
מההצגה,Шоу
פרוס,нарезанных
בואה,боа
לנזוף,ругать
ליכולות,возможности
קורנפלקס,корнфлекс
שחף,чайка
שקלואי,Хлоя
אושפזה,госпитализированы
התקיפו,Напали
שהכין,подготовленный
ואימי,И моя мать
מזוייפות,Ложь
שפגעה,Удар
משרתות,Горничные
שעולים,Напрашивается
אחקור,Запрос
נמשים,веснушки
טייפ,Лента
מעורערת,подрывается
סומסום,кунжут
גרעיניות,ядерной
לפולי,Полли
לשרשרת,цепь
אוחזים,Держа
אינטנסיבית,интенсивный
העשר,Обогатить
שההיסטוריה,история
שתבחרי,Твой выбор
במפלס,уровень
אניסטון,Энистон
ספורטיבית,спортсмен
נדבה,Рекламный проспект
אמיט,Amit
הפיצוצים,Взрывы
הגאים,Рули
לעגל,круг
וסקוט,И Скотт
איסטנבול,Стамбул
משו,Выкупать
האמיש,Хэмиш
יחליפו,обмен
פומביות,публичность
בריידן,Брейден
לברביקיו,БАРБЕКЮ
לאופק,Горизонт
נתפסנו,Мы были пойманы
איכשהוא,как-то
מקליטה,документация
חנוק,задушенный
סקאל,Sakal
זיינו,выебанная
חשמלאי,электрик
ושנאה,И ненависть
אמבולנסים,Машины скорой помощи
שזואי,Zoe
יתפרק,Развалиться
גופנו,Тела
צלולים,ясно
ורוז,И Роза
בשלושים,Тридцать
תנשמו,вздохнуть
subscenter,subscenter
דלגאדו,Delgado
שלגמרי,полностью
דיסקרטית,дискретный
להתכוון,означать
צנצנות,Баночки
ומ,И из
מקילומטר,километр
מתלמד,стажер
שיטפון,наводнение
מהאמבטיה,Ванная
foxi9,foxi9
שורצים,зараженные паразиты
האכילו,Подача
הושגה,Были достигнуты
להכביד,бремя
אינטליגנטית,Умный
לסף,порог
ויצאה,И влево
סייגון,Saigon
.,","
מילדות,Детство
כבדיחה,шутка
השושבינות,Bridesmaids
גלימת,плащ
לידיעתכם,довожу до вашего сведения
שענית,Ты ответил
מפוארות,роскошный
בבניינים,здания
באלי,я чувствую
יושלם,будет сделано
פאוור,Мощность
קליאופטרה,Клеопатра
השתולל,Разглагольствование
שאד,алоза
תחגור,пряжка
מלונית,мотель
פעלנו,Мы работали
וודקוק,вальдшнеп
סמולס,Smalls
ולזיין,Juicing
זיכרונך,объем памяти
ששמנו,Ставим
מבעלה,Муж
נתאחד,Unite
קונלון,Conlon
השפיל,Пониженный
ממתקן,объект
לקמפינג,Кемпинг
הטיפה,Капля
תפרתי,Я шила
ומוציא,И тратить
שהאנק,моток
ךלוה,безмятежность
לאוצר,казначейство
חנתה,Припаркованные
השרוולים,Гильзы
ברי,Чисто
גלנדה,Гленда
להתפכח,вытрезвиться
המדדים,индексы
בשערי,ворота
ותרגיש,И чувствую
גססה,умирающий
כרוצח,душегуб
ולמשפחה,И семья
ותינוק,И ребенок
לזעם,неистовство
פרין,Перрин
לאחוזת,имущество
הקדום,древние
האמי,Emmy
ויהרגו,И убить
הסי,ЦРУ
ספרקי,Спарки
והיד,И рука
גרסייה,Гарсия
שתחזירי,Вернуть
התכנות,программирование
קומוניסטית,коммунист
הקורסים,курсы
ביקורך,Посещение
ומבין,"И понять,"
למרפאת,Клиника
מילותיך,Ваши слова
תעודד,Стимулирование
גרינג,Геринг
בוסקו,Bosco
לנוכחות,Присутствие
ומובן,"И, конечно,"
בהריסות,руины
העמית,член
שתבלה,Проводить
בחיתולים,Подгузники
רדיואקטיבית,радиоактивное
המספק,Обеспечивает
סי,си
שמחובר,Связанный
טראסק,Траска
תקבעי,Ты устанавливаешь
נגב,протирать
ונשיקות,И поцелуи
נגיסה,укусить
פרמדיק,фельдшер
באתרים,Места
מקורמיק,McCormick
מתנדנדת,качалка
הריקבון,распадаться
יכעסו,Сердиться
משכנתאות,ипотеки
וברוך,Варух
יחשפו,Выявить
אני,я
מ,M
אוטומטיים,автоматическая
בעטו,выгнали
מלטף,ласкательный
תמיכתי,Моя поддержка
משלמי,Плательщики
במגוון,разнообразие
נתחלף,спутали
תרנגולי,Индейки
חששו,Боялись
המנורות,Лампы
הפיראט,пират
דימומים,Кровотечение
הראשוניים,первичный
הנשפים,бальный
להחלפת,Обменявшись
חפות,невинность
הפגין,Продемонстрирована
שתשמחי,Вы могли бы
יתחמק,уклоняется
דורכים,Резьбонарезной
שמחבר,"То, что связывает"
קורלי,Корли
הלחמניות,Рулоны
עקבית,последовательный
באונה,мочка
לרשומות,документация
החזקנו,Мы провели
בלוקר,рундук
למחזר,перерабатывать
הלוכי,Corchorus
בהעברת,Передача
פלסמה,плазма
היצירתיות,Творческий подход
הגופנית,физический
דאנס,танец
ליולי,июль
והוציא,И взял
בסלט,Салат
למשמע,дисциплина
אינטלקטואלי,интеллектуальной
השלימו,полный
הפיר,Вал
הפופולריות,популярность
לאטמוספירה,Атмосфера
לארכיון,Архив
פארוק,Фарук
התרחקנו,Мы отошли
הגגות,Кровли
מדאגה,Беспокойство
ולהחליט,И решить
והודות,Спасибо
יתרסק,авария
לאפיפיור,папа
הקלים,незначительный
שישגיח,Часы
שובי,возврате
פשתן,белье
להסבר,Разъяснения
לזקנים,престарелые
התלבשת,Вы одеты
מתורגמן,переводчик
גרטל,Гретель
סלחת,прощенный
שנעדר,Стрелок
טמסין,Tamsyn
שהקריירה,Карьера
מוחבאים,скрытый
ברגשותיך,Твои чувства
במחבט,Летучая мышь
ווילד,Wilde
חשדת,ПОДОЗРЕНИЕ
תגישי,Всегда показывай
פורטו,Порту
לביתכם,Твой дом
לדרגה,Ранг
רעלנים,Токсины
זכויותיי,Мои права
זחוח,высокомерный
לפרנסתו,На жизнь
קלטי,вставка
בבחירה,выбор
שפורסם,опубликованный
השחקים,Вселенная
בניכם,Sons
תזמן,График
הפסדתם,Потерял
השליה,плацента
עתק,копия
השקה,запуск
החלף,переключатель
אחטיף,Собираюсь кнут
מתפקיד,Роль
שמרן,консервативный
להשפריץ,спринцовка
תצמיד,Сложный
לפונדק,гостиница
לבזוז,добыча
ולבטל,И Отменить
תכאיב,Причинить боль
ראין,Райан
ארטו,Арто
טופלו,Обрабатывали
טיאנה,Тиана
המושיעה,спаситель
בטריות,батареи
מסחררת,головокружительный
si,си
עבדך,Ваш покорный слуга
אן,Энн
סאו,Sao
בפתיחת,Открытие
הזדווגות,спаривание
החליל,флейта
בממפיס,Мемфис
לשגריר,посол
לנסר,пила
סלטים,Салаты
למאוד,чрезвычайно
שתמלא,Заливка
המוניטור,Монитор
הקומיקאי,комик
mind,разум
הקרום,корка
מהחיילים,Солдаты
תהססי,Не стесняйтесь
רוגע,спокойный
שתאהבו,Вы будете любить
מתאבן,закуска
ראף,ерш
לחמנייה,Рулон
לצפצף,чириканье
פתולוג,патолог
להוצאת,удалять
כפירה,ересь
יסבך,Сложнейшие
בנחיתות,Посадки
לערעורים,апелляции
וייאט,Wyatt
מחוסלים,Выбыл
ולהביט,И посмотри
משיש,Мрамор
שאחרת,в противном случае
איגל,орел
השבירה,ломка
נשלחנו,Мы были посланы
מושבות,Колонии
פנקייקס,Блины
תת,суб
שהשתנית,Ты изменился
תתגשם,исполняться
לעברה,Ее
הגידי,сказать
קשיחות,твердость
שיתאימו,Поместиться
וחלש,И слабый
צמצם,затвор
הרדודים,перекат
מנצנץ,мигалкой
בשרירים,Мышцы
אינפרא,ниже
שבגללן,Зачем
שתעיף,Пошлет
נייטרלי,нейтральный
מעופש,заплесневелый
יו,Эй
החיובית,положительный
ברמנית,бармен
וילדיו,И дети
לקרא,Читать
סקוטית,шотландский
הנאמנה,Верный
כיוונו,направление
שואבים,Привлечь
להפרעה,интерференция
הריגות,Убийства
שבאמצע,средний
מכתש,кратер
למורגן,Морган
הכמורה,клир
הגרים,Жизнь
וקלואי,И Хлоя
טוב,хорошо
ואכין,И сделать
הנחוץ,необходимый
ראת,Рат
מעבדים,процессоры
וללמד,И учить
עקומות,Кривые
לבינה,бина
והשנה,А год
דרכן,Путь
טחול,селезенка
דריה,Дарья
הרימון,граната
שפנים,Кролик
יגעו,трогательный
וסיפרת,И сказал
יחתכו,Резать
הצפוי,ожидаемый
seol,Seol
made,сделанный
קיירן,Киран
וויצ,колдунья
להתבלט,"выделяться, быть заметным"
מסיגי,Зигги
into,в
התאמץ,Напряженные
היסטוריים,история
כוונותיו,намерения
נעדרות,Отсутствует
ארציים,житейский
גרלנד,гирлянда
יודו,спасибо
מסאג,Массаж
לבחילה,Тошнота
לניסויים,Эксперименты
בליית,Blythe
מסתכנת,риски
יתפנה,Освобожденный
עונשים,Штрафы
כפרס,приз
פורסמו,Выпущенный
שנוותר,Мы даем
כשישה,О шести
ברקר,зазывала
הפאניקה,Паника
כעוזר,Как помощник
מתרוצצת,Бегать
בבהלה,испуг
ניכשל,Провал
העיריה,Ратуша
המטונפות,отвратительный
הפלסטי,пластик
ליתיום,литий
דמבו,простофиля
תסרבי,Вы отказываетесь
בגלות,ссыльный
קפיץ,весна
שהממשל,администрация
ותאמינו,И поверьте
בנעילה,Замок
לפרחים,Цветы
בבייג,Пекин
קיפר,Кифер
ועשתה,И сделал
קיימה,Проводится
מהגן,Детский сад
בקוונטיקו,квантик
שישמרו,охрана
העבה,толстый
מתנגן,мелодичный
גאנט,Gant
להפגיש,сближать
לקדוש,святой
סובבו,Поворот
בדמה,Кровь
התעקשת,Настаивал
השיכורים,Пьяные
הדינמיקה,динамика
האיקס,Икс
והנסון,И Hanson
למכבי,Маккаби
לפוצ,Дуть
ותמשיכי,И хранить
לנכס,Свойство
ההרה,беременная
שהניתוח,Хирургия
סובבת,вертится
סטפנו,Стефано
נחיל,рой
השגחת,Сильно
שמטפלים,Терапевты
שותות,Питьевой
שהגשת,подача
ותפתח,И открыт
האטון,Hutton
המיניים,сексуальной
סינגל,не замужем
השליליות,отрицательный
ייקרה,Произойдет
השלכתי,я бросил
וויסלר,доносчик
האקווריום,Аквариум
דנזל,Denzel
המקביל,соответствующий
שבלתי,
